window,window_end,outcome_matured_at,n_rows,n_defaults,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,brier,brier_reliability,evaluated,reason
2004Q1,2004-03-31,2005-03-31,82499,578,0.0070061455290367156,0.006109397670649789,1.146781713473163,0.9158718254556071,0.8317436509112142,0.6780996156775059,0.006239025268176634,0.000011634666081277008,true,""
2004Q2,2004-06-30,2005-06-30,87569,575,0.0065662506138016875,0.006117377772956152,1.0733766750240477,0.9189781704085539,0.8379563408171078,0.6768704288451677,0.005852600570152072,4.966191690632458e-6,true,""
2004Q3,2004-09-30,2005-09-30,92234,543,0.005887199947958453,0.006040884619671681,0.9745592439867556,0.9214906146561235,0.842981229312247,0.6752311234789647,0.005302830629987987,9.548660920071805e-7,true,""
2004Q4,2004-12-31,2005-12-31,97277,613,0.006301592359961758,0.005833639882605733,1.0802162092232206,0.8950636546783065,0.790127309356613,0.6317677121497463,0.005694811116977302,1.9390429911155977e-6,true,""
2005Q1,2005-03-31,2006-03-31,102257,622,0.006082713163890981,0.005186273854991997,1.1728484329912745,0.8893031095922503,0.7786062191845007,0.6292965955185768,0.005573322823213639,6.4986871606041184e-6,true,""
2005Q2,2005-06-30,2006-06-30,108062,664,0.006144620680720327,0.0054152841275812765,1.1346811240105341,0.8814910076066571,0.7629820152133142,0.6061973176229752,0.00571348285473255,3.2814046554917302e-6,true,""
2005Q3,2005-09-30,2006-09-30,112787,709,0.006286185464636882,0.005722179720124229,1.0985648427869386,0.8948205172747541,0.7896410345495082,0.6386026722121364,0.005586490828346269,4.309671383207491e-6,true,""
2005Q4,2005-12-31,2006-12-31,117977,625,0.00529764276087712,0.005669259678989702,0.9344505386673685,0.8945848592269412,0.7891697184538824,0.6341335196673257,0.004972443389718679,4.530302727861443e-7,true,""
2006Q1,2006-03-31,2007-03-31,123557,669,0.0054145050462539555,0.005044488694107821,1.073350615807372,0.8782277194035445,0.756455438807089,0.5932865431247129,0.005066341658822002,1.6519060226708794e-6,true,""
2006Q2,2006-06-30,2007-06-30,129059,761,0.005896527944583485,0.0052912646889188225,1.114389147254763,0.8799001110034786,0.7598002220069573,0.5884282750148723,0.005381471943774081,2.74746738260325e-6,true,""
2006Q3,2006-09-30,2007-09-30,135327,826,0.006103733918582397,0.005660102225149955,1.0783787422533146,0.8885335253994979,0.7770670507989959,0.6045472933016709,0.005688777839757736,2.4481512474632508e-6,true,""
2006Q4,2006-12-31,2007-12-31,140753,1000,0.007104644305982821,0.006055470035477966,1.1732605833003749,0.8835200389258191,0.7670400778516382,0.6006760498880167,0.006490099332460254,7.102355882553982e-6,true,""
2007Q1,2007-03-31,2008-03-31,24632,188,0.007632348164988633,0.005354873508821402,1.425308768249224,0.8509673217462754,0.7019346434925509,0.5316267839299206,0.007114424438435377,0.000018165442422066362,true,""
