ltv_band,property_state,n,raw_mean,raw_std,credibility,shrunk_lgd,global_mean
91-95,WA,52,0.16008678613216218,0.21034180582313247,0.5098039215686274,0.3206601638702782,0.48765647671791884
91-95,WI,55,0.3523207173584023,0.2886273020647497,0.5238095238095238,0.41676631705341016,0.48765647671791884
91-95,WV,7,0.45023922916630504,0.49468643753636515,0.12280701754385964,0.48306137614140493,0.48765647671791884
91-95,WY,5,0.14952714924754815,0.2250825890424548,0.09090909090909091,0.45691744694788516,0.48765647671791884
<=60,AK,3,0.01772650343161017,0.02659359553162561,0.05660377358490566,0.46105666690925984,0.48765647671791884
<=60,AL,11,0.38952549251368607,0.40186227451656825,0.18032786885245902,0.4699607254679752,0.48765647671791884
<=60,AR,4,0.6785183900468237,0.25767913054307606,0.07407407407407407,0.5017943962237637,0.48765647671791884
<=60,AZ,57,0.34725649467560293,0.25487642714721404,0.5327102803738317,0.41286396291967575,0.48765647671791884
<=60,CA,184,0.32892013806708026,0.27407848731343337,0.7863247863247863,0.36283815914631923,0.48765647671791884
<=60,CO,7,0.22048083975079255,0.30950008906696574,0.12280701754385964,0.4548454335816051,0.48765647671791884
<=60,CT,11,0.44682706108363546,0.6489257226173977,0.18032786885245902,0.48029379521009724,0.48765647671791884
<=60,DC,2,0.27080691119641903,0.10101367180310222,0.038461538461538464,0.4793161088132458,0.48765647671791884
<=60,DE,1,0.5345490881962413,,0.0196078431372549,0.488575939688082,0.48765647671791884
<=60,FL,237,0.5427363389481049,0.3747270162265826,0.8257839721254355,0.5331405441344836,0.48765647671791884
<=60,GA,40,0.33290810781200847,0.3932073944192252,0.4444444444444444,0.41887942387084753,0.48765647671791884
<=60,HI,11,0.2642456295361814,0.36302427348544447,0.18032786885245902,0.44736927476711374,0.48765647671791884
<=60,IA,2,0.5905467490546645,0.2576751679503988,0.038461538461538464,0.4916137948847168,0.48765647671791884
<=60,ID,5,0.17081735180803742,0.20129645485947276,0.09090909090909091,0.45885291990792965,0.48765647671791884
<=60,IL,74,0.5355967891837552,0.5430208570015408,0.5967741935483871,0.516266018028176,0.48765647671791884
<=60,IN,23,0.6526097697210145,0.5340357819345811,0.3150684931506849,0.5396280621846476,0.48765647671791884
<=60,KS,3,0.24129387077600306,0.2357926025963054,0.05660377358490566,0.47371142355139534,0.48765647671791884
<=60,KY,12,0.47962504718376775,0.6205727110654854,0.1935483870967742,0.48610200648550245,0.48765647671791884
<=60,LA,10,0.2210306134485959,0.1972833771878874,0.16666666666666666,0.4432188328396983,0.48765647671791884
<=60,MA,18,0.6108131968425929,0.7256201854958656,0.2647058823529412,0.520256784986215,0.48765647671791884
<=60,MD,38,0.3878739266275642,0.36775522522697407,0.4318181818181818,0.4445685573607202,0.48765647671791884
<=60,ME,5,0.649966658759807,0.5121071328953356,0.09090909090909091,0.502411947812636,0.48765647671791884
<=60,MI,72,0.6333668310398273,0.4440192543121215,0.5901639344262295,0.5736494727111763,0.48765647671791884
<=60,MN,21,0.34280361010775123,0.36284606769360117,0.29577464788732394,0.444812671100827,0.48765647671791884
<=60,MO,19,0.4915224183341515,0.46383331629255803,0.2753623188405797,0.488721011365867,0.48765647671791884
<=60,MS,7,0.4785117121663059,0.8526247482956997,0.12280701754385964,0.4865334354571945,0.48765647671791884
<=60,MT,3,0.1300924582641301,0.21354028791609053,0.05660377358490566,0.46741700397525154,0.48765647671791884
<=60,NC,31,0.2678607188863787,0.31765252796631693,0.38271604938271603,0.40353711260955166,0.48765647671791884
<=60,NE,1,0.2511804750173875,,0.0196078431372549,0.4830196923708496,0.48765647671791884
<=60,NH,6,0.9351531184036755,1.4318239562419415,0.10714285714285714,0.5356025454699642,0.48765647671791884
<=60,NJ,50,0.5927243278763633,0.4115062421240948,0.5,0.5401904022971411,0.48765647671791884
<=60,NM,4,0.6088716510626692,0.7372730134682234,0.07407407407407407,0.4966353785212337,0.48765647671791884
<=60,NV,30,0.4845106385233284,0.24607771163639036,0.375,0.48647678739494743,0.48765647671791884
<=60,NY,54,0.5883977163466829,0.5330316229522213,0.5192307692307693,0.5399644280636233,0.48765647671791884
