model,variant,group,split,n,n_default,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,ks_decile,brier,reliability,resolution,uncertainty,score_psi,psi_band
lightgbm,with_delinquency,all,oot_stress,342603,7446,0.021733610038440994,0.007752975684918565,2.803260441112718,0.832384718010344,0.6647694360206879,0.48189409407529477,3,0.018653730530812554,0.00043384614826662217,0.0009911461117991112,0.02126126023313797,,
lightgbm,with_delinquency,current,oot_stress,336602,4966,0.014753328857226041,0.003746782095553465,3.93759991399946,0.758535389003059,0.5170707780061179,0.39872556875153997,5,0.014540343639755374,0.00020482338525150127,0.0001916739312170614,0.014535668144856583,,
lightgbm,with_delinquency,30_60_dpd,oot_stress,6001,2480,0.4132644559240127,0.23246431955551863,1.7777543526429835,0.6673344724281042,0.33466894485620835,0.2728301847898782,3,0.249377652261129,0.03521281984775487,0.027772013013298222,0.24247694539384249,,
lightgbm,with_delinquency,all,oot_benign,536028,5416,0.010103949793667496,0.0037008552375067507,2.730166176528018,0.7819595846396526,0.5639191692793053,0.41412682288184915,3,0.009465026518394246,0.00006763934080804317,0.0001317484386017067,0.010001859992234543,,
lightgbm,with_delinquency,current,oot_benign,531210,4268,0.00803448730257337,0.0022053647153716777,3.6431558220606113,0.7290346927418822,0.4580693854837643,0.3574963009947971,4,0.007984883667465895,0.00005235574635398244,0.000043902911387426134,0.007969934316358158,,
lightgbm,with_delinquency,30_60_dpd,oot_benign,4818,1148,0.23827314238273142,0.16858660041462836,1.4133575372936715,0.6557710839369975,0.3115421678739949,0.2578401959574287,2,0.17265860971508332,0.006931256987157458,0.015138399487441953,0.18149905200179,,
scorecard,without_delinquency,all,train,2046874,13513,0.006601774217660687,0.006582197629016729,1.0029741721150482,0.8463083513365468,0.6926167026730936,0.5499815774392401,3,0.0064339057345881275,6.754054755633133e-7,0.00010062939377860588,0.006558190794839717,,
scorecard,without_delinquency,current,train,2021101,7996,0.003956259484310779,0.006352522255865731,0.6227856156911039,0.8317348715363988,0.6634697430727976,0.5241368688670985,3,0.003942735038266114,0.000022400885246476504,0.000031520017895391755,0.00394060749520358,,
scorecard,without_delinquency,30_60_dpd,train,25773,5517,0.21406122686532417,0.024593183014918852,8.704087906614982,0.6177510250522512,0.23550205010450243,0.17311380614163718,7,0.20178980475709685,0.03844354581008184,0.0047882943118649655,0.1682390180182364,,
scorecard,without_delinquency,all,validation_in_time,517080,3497,0.006762976715401872,0.0065102944165997675,1.0388127299063192,0.83757423137861,0.67514846275722,0.5325719797385429,3,0.006613060758141228,1.2750078381330423e-6,0.00009333365102407622,0.006717238861348804,,
scorecard,without_delinquency,current,validation_in_time,510378,2077,0.0040695327776667485,0.0062984560130499075,0.6461159321006601,0.8314248076354039,0.6628496152708079,0.5250629255317945,3,0.004058183849743847,0.000020006438934910355,0.00003272074608710478,0.004052971680638244,,
