month,cumulative_default,survival,naive_chained
93,0.022501235074860713,0.15817491269982092,0.04764485990719003
94,0.022584241964682505,0.155069426177047,0.04814463598947505
95,0.02266561916005251,0.15202491042630334,0.048644149799712766
96,0.022745398657158175,0.14904016839359707,0.04914340147553797
97,0.02282361182399802,0.1461140265269874,0.0496423911545133
98,0.02290028941271502,0.1432453343151642,0.05014111897412932
99,0.022975461571687852,0.14043296383508558,0.05063958507180433
100,0.023049157857384744,0.13767580930849704,0.051137789584884574
101,0.023121407245984594,0.13497278666715742,0.05163573265064403
102,0.023192238144769936,0.13232283312660095,0.05213341440628483
103,0.023261678403296217,0.1297249067682677,0.05263083498893728
104,0.02332975532434179,0.1271779861298382,0.053127994535659195
105,0.02339649567464292,0.124681069803611,0.053624893183437106
106,0.02346192569541804,0.12223317604276565,0.05412153106918505
107,0.023526071112685346,0.11983334237535569,0.05461790832974556
108,0.023588957147377874,0.11748062522588042,0.05511402510188945
109,0.023650608525259943,0.11517409954428641,0.055609881522315385
110,0.023711049486648934,0.11291285844225285,0.05610547772765062
111,0.02377030379594618,0.11069601283661785,0.05660081385445059
112,0.023828394750980742,0.10852269109980543,0.057095890039199015
113,0.02388534519216974,0.10639203871711575,0.05759070641830821
114,0.023941177511498834,0.10430321795074386,0.05808526312811857
115,0.023995913661326376,0.10225540751039484,0.05857956030489919
116,0.024049575163014737,0.10024780223036583,0.05907359808484758
117,0.024102183115392146,0.098279612752968,0.05956737660408973
118,0.024153758203048405,0.09635006521816396,0.060060895998680364
119,0.024204320704467732,0.09445840095929861,0.0605541564046026
120,0.02425389050000194,0.09260387620480377,0.06104715795776838
121,0.024302487079687057,0.0907857617857593,0.061539900794018054
122,0.024350129550906492,0.08900334284919578,0.0620323850491209
123,0.024396836645903756,0.08725591857702598,0.06252461085877503
124,0.024442626729147664,0.08554280191049457,0.06301657835860708
125,0.02448751780455295,0.08386331928003782,0.06350828768417272
126,0.024531527522559108,0.08221681034044705,0.06399973897095634
127,0.02457467318707027,0.08060262771123161,0.06449093235437142
128,0.024616971762258806,0.07902013672207946,0.06498186796976013
129,0.024658439879235362,0.0774687151633151,0.06547254595239382
130,0.02469909384258795,0.07594775304125692,0.06596296643747279
131,0.024738949636792636,0.07445665233837755,0.06645312956012628
132,0.024778022932498384,0.07299482677817315,0.06694303545541291
133,0.0248163290926885,0.07156170159464907,0.06743268425832005
134,0.024853883178721094,0.07015671330633118,0.06792207610376444
135,0.024890699956250976,0.06877930949471413,0.06841121112659199
136,0.024926793901035263,0.06742894858705943,0.06890008946157788
137,0.024962179204625012,0.06610509964345786,0.06938871124342649
138,0.02499686977994511,0.0648072421480725,0.06987707660677167
139,0.025030879266764606,0.06353486580448048,0.07036518568617633
